67.09,67.86,50.95,54.8,52.66,61.06,60.21,61.8,62.45
63.47,65.34,56.19,59.3,61.34,56.24,57.2,58.16,58.33
65.42,68.03,61.0,57.62,59.48,59.81,62.01,61.01,60.32
63.64,65.13,61.66,61.21,61.53,55.27,56.75,58.31,58.43
64.66,66.8,61.45,60.02,60.41,57.31,57.66,57.62,57.34
62.36,64.8,59.54,61.65,62.1,58.5,58.62,61.0,60.11
64.13,65.95,59.65,60.29,63.47,61.63,61.91,61.4,60.71
63.18,65.38,57.34,59.05,58.92,58.89,58.16,57.55,58.17
64.31,65.57,56.84,59.8,62.87,59.11,59.0,59.03,59.47
70.33,70.85,52.3,57.3,58.15,67.12,69.32,71.97,71.77
70.21,71.67,51.55,58.63,56.67,69.69,70.53,71.94,71.06
70.39,70.43,59.64,62.53,63.53,66.36,69.35,70.74,70.96
69.9,71.39,59.27,61.97,61.79,63.91,67.89,69.42,69.65
71.03,70.3,64.34,63.73,65.46,66.66,68.51,68.64,69.3
69.78,71.13,62.94,64.06,65.94,67.19,70.1,69.76,70.36
70.68,69.43,61.67,65.43,66.81,59.38,65.34,66.79,66.87
69.79,71.0,66.61,67.82,69.0,64.01,71.35,71.09,70.68
70.65,69.94,64.01,66.33,67.7,67.71,71.32,70.47,70.4
69.73,70.78,65.22,67.57,68.91,65.77,71.14,71.7,71.67
74.18,75.92,57.06,62.86,62.03,70.05,69.46,70.68,72.79
76.56,76.38,58.72,63.25,64.38,64.14,67.86,69.41,70.1
72.02,74.46,62.68,68.22,69.2,62.08,67.52,68.85,71.09
75.45,75.04,63.75,61.08,61.17,66.44,67.81,69.55,70.54
72.37,73.19,65.31,69.03,71.23,68.35,70.03,69.89,70.97
75.4,75.49,62.42,62.63,62.96,71.13,70.14,68.65,70.98
71.34,73.24,64.09,68.08,69.45,68.03,72.66,72.6,71.34
75.54,75.01,62.18,61.71,60.25,66.15,70.05,68.51,68.13
71.73,72.35,64.93,67.42,67.66,69.42,67.5,70.44,72.37
74.3,73.97,61.3,62.3,60.87,65.45,69.49,69.77,70.56
77.08,77.17,66.67,65.31,61.69,60.95,70.66,73.72,73.98
78.61,75.55,62.92,67.17,64.86,68.89,69.83,72.9,73.1
76.12,76.2,64.81,66.64,65.39,71.01,71.7,72.14,72.76
78.16,76.19,65.5,67.69,64.5,69.98,72.78,74.79,76.54
76.24,74.95,68.44,67.22,65.17,68.25,71.02,73.08,72.19
79.72,76.08,66.83,66.47,67.53,73.05,70.99,72.47,73.68
75.85,73.86,70.08,66.17,63.0,69.96,72.05,70.42,72.94
79.52,75.61,70.03,64.67,64.97,66.94,68.51,70.78,73.88
76.27,72.36,69.53,67.11,66.56,70.56,70.47,72.19,72.9
78.84,76.41,67.36,64.0,63.36,71.11,75.66,75.3,74.53
68.63,65.57,48.66,52.47,55.3,62.25,66.04,67.8,66.06
62.2,63.87,47.86,50.39,54.26,61.49,58.38,57.74,59.33
70.06,65.48,48.75,60.54,63.75,59.79,64.43,67.49,67.17
63.39,67.11,53.33,58.93,57.53,61.29,60.86,63.53,62.68
69.43,65.39,60.51,62.68,60.51,63.14,62.87,64.93,63.66
62.29,65.68,58.07,59.17,55.09,56.18,63.36,64.61,64.26
69.58,64.91,64.82,60.62,59.29,64.12,65.94,69.82,68.57
64.91,66.25,51.25,56.28,56.76,65.09,59.2,62.62,61.67
67.38,61.9,62.89,63.36,60.15,62.98,63.57,63.51,65.58
61.9,65.21,49.73,54.02,58.01,59.38,62.17,61.5,65.19
72.22,72.68,67.63,66.35,66.21,66.91,71.24,70.96,72.02
73.49,74.06,67.85,66.73,69.61,68.84,70.22,71.86,71.77
72.54,73.85,61.08,64.02,65.63,70.3,70.34,70.16,70.63
72.66,74.02,60.82,62.87,65.42,68.8,67.74,68.19,69.73
71.76,73.94,61.1,61.8,63.33,67.8,70.44,72.12,72.71
