k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5_Last,200,80.21%,85.49%,87.04%,81.36%,80.47%,77.66%,80.01%,78.57%,77.97%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,26.33%,25.0%,0.0%,11.67%,24.0%,50.67%,29.17%,45.83%,44.17%
180,6_Last,0,24.29%,31.37%,0.0%,16.0%,25.17%,24.52%,25.19%,27.19%,26.19%
180,6,50,31.95%,44.17%,25.0%,41.36%,49.17%,39.5%,35.17%,54.67%,38.33%
180,6_Last,50,31.08%,32.62%,27.0%,30.0%,31.83%,19.0%,34.7%,36.67%,34.33%
180,6,100,46.6%,46.43%,33.86%,38.02%,34.33%,45.0%,42.5%,39.83%,32.0%
180,6_Last,100,33.42%,29.75%,32.83%,28.83%,26.62%,24.29%,27.5%,24.33%,28.08%
180,6,150,49.26%,39.76%,43.86%,30.69%,33.29%,31.17%,45.0%,43.19%,48.19%
180,6_Last,150,35.19%,32.25%,20.5%,27.83%,27.33%,45.33%,32.33%,26.33%,28.33%
180,6,200,39.19%,36.19%,34.69%,36.36%,34.29%,34.83%,31.86%,37.86%,40.52%
180,6_Last,200,33.21%,31.92%,20.45%,22.67%,29.17%,24.33%,25.75%,23.69%,29.92%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,81.31%,83.78%,73.52%,69.38%,68.55%,61.01%,70.1%,66.63%,69.26%
365,2_Last,0,79.65%,80.12%,72.21%,70.81%,77.4%,65.77%,67.87%,67.85%,69.67%
365,2,50,77.63%,77.04%,53.98%,58.14%,60.51%,59.56%,64.09%,60.0%,60.06%
365,2_Last,50,66.52%,70.65%,54.21%,58.4%,62.23%,59.94%,61.52%,60.59%,64.11%
365,2,100,66.18%,62.44%,52.58%,53.91%,55.67%,55.45%,59.36%,58.36%,60.52%
365,2_Last,100,63.54%,65.33%,50.3%,54.51%,57.3%,57.22%,57.99%,54.02%,58.43%
365,2,150,63.17%,58.49%,49.86%,52.3%,52.38%,57.59%,56.84%,55.43%,56.5%
365,2_Last,150,60.04%,59.12%,49.87%,51.93%,53.26%,57.1%,60.01%,56.58%,58.77%
365,2,200,57.17%,55.52%,47.7%,49.61%,48.74%,54.06%,54.03%,53.34%,55.06%
365,2_Last,200,56.49%,56.75%,46.93%,47.93%,50.25%,53.05%,56.62%,53.71%,56.74%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3,0,67.87%,75.85%,62.39%,66.71%,69.02%,66.2%,63.35%,63.8%,66.27%
365,3_Last,0,71.56%,75.08%,62.39%,64.97%,65.51%,60.18%,64.4%,62.29%,63.28%
365,3,50,65.14%,68.0%,60.08%,62.16%,62.09%,63.0%,62.69%,62.99%,66.39%
365,3_Last,50,63.23%,65.72%,60.54%,60.27%,62.27%,63.7%,62.05%,63.96%,65.27%
365,3,100,62.92%,63.08%,56.29%,60.04%,60.82%,63.73%,66.9%,68.62%,67.72%
