k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,4,0,76.39%,74.55%,68.08%,63.92%,65.75%,59.53%,63.77%,67.14%,68.36%
365,4,50,77.59%,74.1%,70.5%,67.67%,66.75%,71.15%,71.69%,72.64%,73.58%
365,4,100,75.25%,70.27%,65.17%,63.92%,68.42%,66.88%,70.52%,70.61%,72.61%
365,4,150,76.97%,70.2%,69.83%,64.33%,66.33%,69.72%,70.07%,69.59%,69.64%
365,4,200,75.55%,69.03%,70.17%,61.17%,63.58%,67.91%,70.08%,66.88%,69.97%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,0,69.79%,61.67%,67.08%,65.83%,61.67%,61.77%,69.38%,72.29%,72.08%
365,5,50,68.33%,63.33%,66.25%,63.75%,65.0%,66.46%,72.71%,72.19%,70.21%
365,5,100,67.29%,59.58%,66.25%,67.08%,67.5%,63.65%,69.17%,73.85%,73.12%
365,5,150,62.5%,60.42%,69.58%,68.75%,65.0%,75.52%,77.6%,73.75%,74.38%
365,5,200,67.5%,58.75%,68.75%,70.83%,69.58%,68.85%,69.69%,69.17%,72.71%
