72.85,75.69,52.5,56.81,61.32,54.24,59.1,59.72,56.42
67.2,69.37,54.32,52.23,52.77,60.67,62.38,65.37,65.43
67.27,69.33,55.75,55.81,56.57,62.96,62.6,63.13,64.13
67.4,68.38,60.14,61.55,61.45,61.15,62.09,62.72,62.71
66.89,68.85,60.38,62.66,62.6,62.96,62.31,61.91,62.94
67.25,67.75,59.94,60.52,62.38,60.23,62.62,62.1,62.63
66.34,68.15,60.81,65.31,66.3,65.41,64.88,64.88,65.26
67.94,67.43,58.04,58.65,61.38,62.74,63.1,63.69,63.87
66.38,68.85,60.5,60.96,66.29,56.59,59.8,60.14,59.58
67.24,67.56,57.13,57.99,60.7,63.51,65.33,65.35,66.07
66.01,68.5,59.82,59.81,62.67,63.86,62.97,63.06,62.63
70.39,70.81,50.94,54.33,55.58,68.5,69.36,68.58,68.94
70.63,71.67,50.94,59.64,58.39,68.22,68.15,69.04,69.06
70.88,71.56,64.6,67.52,69.71,63.91,67.12,68.68,68.1
70.65,72.11,60.22,62.83,66.27,73.01,73.49,72.47,71.85
70.73,71.33,68.77,68.88,70.01,62.43,67.6,66.91,66.82
70.27,72.58,64.71,66.69,68.45,65.01,68.89,69.37,68.38
71.39,70.69,68.76,68.57,68.48,61.55,63.52,63.63,65.79
70.53,71.62,66.89,67.32,68.17,66.94,67.93,68.59,69.27
70.56,71.25,67.17,69.01,69.33,65.27,69.08,69.3,69.87
69.55,71.88,66.24,65.26,69.33,67.93,71.27,70.74,72.1
81.66,82.04,62.64,66.05,67.61,78.25,78.02,80.72,81.27
80.87,80.32,62.73,63.79,65.72,74.7,74.43,77.29,76.68
81.26,81.45,67.15,66.28,68.36,74.4,79.65,81.14,80.01
80.58,80.06,67.52,69.22,65.39,66.36,73.81,73.77,74.74
81.26,82.08,69.84,66.89,68.97,74.62,76.29,76.98,78.05
79.02,79.91,66.87,67.93,63.16,72.08,76.88,75.29,75.56
80.8,81.74,67.11,64.88,64.5,77.87,77.69,78.28,79.11
80.49,79.88,66.38,68.61,67.86,68.3,70.93,71.25,73.39
79.9,81.36,62.61,63.02,64.05,78.56,79.89,82.07,80.72
79.84,79.2,64.94,65.55,64.3,73.37,76.14,76.93,75.71
78.64,78.92,58.17,68.36,65.31,74.1,76.71,77.46,81.36
79.08,79.69,65.83,62.75,61.78,73.51,76.07,77.82,80.25
77.86,77.94,69.61,68.5,65.56,73.67,76.14,76.38,75.51
78.58,79.19,68.56,63.78,68.42,77.44,79.25,79.07,80.54
78.39,78.78,69.89,69.53,66.5,75.88,78.29,79.31,78.89
78.33,78.44,65.64,61.72,63.94,79.94,76.6,77.51,76.75
77.33,76.19,68.28,70.75,64.64,77.51,75.69,74.88,75.49
77.25,77.61,63.42,68.06,68.19,71.68,75.69,76.83,76.71
78.11,76.17,71.11,70.39,63.08,74.17,78.44,78.96,78.54
76.72,78.44,68.0,67.5,71.25,73.26,75.17,77.53,76.6
72.78,73.1,49.64,56.43,55.71,71.07,70.36,69.25,73.17
74.21,72.9,55.0,51.67,55.6,70.95,69.68,73.41,71.79
72.3,72.38,58.21,61.9,67.86,73.69,80.12,79.05,78.1
73.13,71.94,55.95,52.62,56.19,73.33,71.19,71.43,69.05
72.3,70.24,61.19,69.64,69.05,72.86,76.79,77.58,79.01
74.56,71.47,60.48,58.1,59.64,64.33,72.22,73.57,73.57
72.86,70.79,68.1,65.83,69.52,79.84,80.12,77.38,78.57
73.85,71.47,56.67,57.62,55.36,71.79,71.63,75.95,76.79
72.3,70.32,68.57,65.6,67.14,74.48,77.5,77.02,79.29
73.37,70.99,55.95,55.48,60.95,69.52,74.52,72.74,72.02
70.39,73.49,61.63,65.61,66.09,71.73,71.81,71.98,73.1
70.26,74.25,58.77,63.76,65.94,71.57,72.73,72.04,71.86
69.86,73.74,62.24,64.74,64.2,69.75,70.84,71.3,70.79
69.93,74.43,62.52,65.22,64.85,68.83,71.25,72.37,73.25
69.62,74.09,61.37,62.76,63.03,68.82,71.95,71.52,70.85
69.76,73.94,58.86,60.96,61.72,72.07,75.07,75.76,75.46
69.18,74.32,57.94,61.8,62.71,65.61,70.22,69.48,69.56
70.24,73.7,58.45,59.65,60.07,77.03,78.01,77.12,77.32
69.02,74.15,55.03,58.57,60.7,66.53,68.75,69.35,70.07
70.0,73.54,57.86,59.64,60.85,70.74,73.77,74.9,74.32
80.22,81.51,68.83,71.24,72.81,69.06,74.07,73.56,73.88
80.0,82.9,73.06,72.86,72.11,70.85,75.37,76.14,76.43
79.65,81.87,70.43,73.41,71.45,73.23,72.9,74.25,75.31
79.46,83.52,72.01,76.65,74.2,73.29,75.69,76.18,77.03
79.46,81.6,67.7,74.21,72.66,69.99,72.89,73.64,75.57
79.57,83.76,68.77,74.67,72.63,71.31,73.32,74.99,75.77
79.77,81.71,62.86,70.69,72.92,74.34,77.47,76.22,76.08
79.81,83.66,66.24,73.42,74.33,70.87,72.96,74.38,74.62
80.0,81.94,61.83,68.12,70.77,71.26,74.52,74.94,76.01
79.9,83.6,63.76,68.11,72.55,70.19,74.84,74.7,75.37
