180,#2,NB_1to2,NB_K_1to2,NB_0to2,NB_K_0to2,SVM_1_1to2,SVM_2_1to2,SVM_3_1to2,SVM_1_0to2,SVM_2_0to2,SVM_3_0to2,RF_5_1to2,RF_10_1to2,RF_15_1to2,RF_20_1to2,RF_5_0to2,RF_10_0to2,RF_15_0to2,RF_20_0to2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2,69.26,70.85,69.64,70.67,65.57,66.6,65.44,65.35,66.32,65.47,68.42,70.59,71.47,71.77,70.31,71.34,72.32,73.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,#3,NB_2to3,NB_K_2to3,NB_1to3,NB_K_1to3,NB_0to3,NB_K_0to3,SVM_1_2to3,SVM_2_2to3,SVM_3_2to3,SVM_1_1to3,SVM_2_1to3,SVM_3_1to3,SVM_1_0to3,SVM_2_0to3,SVM_3_0to3,RF_5_2to3,RF_10_2to3,RF_15_2to3,RF_20_2to3,RF_5_1to3,RF_10_1to3,RF_15_1to3,RF_20_1to3,RF_5_0to3,RF_10_0to3,RF_15_0to3,RF_20_0to3,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,3,69.81,69.94,69.71,69.29,69.81,68.91,57.95,60.47,63.14,57.59,59.96,63.33,57.62,60.11,63.23,69.24,70.34,70.44,70.96,68.13,69.01,69.78,70.27,67.36,68.59,69.29,70.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,#4,NB_3to4,NB_K_3to4,NB_2to4,NB_K_2to4,NB_1to4,NB_K_1to4,NB_0to4,NB_K_0to4,SVM_1_3to4,SVM_2_3to4,SVM_3_3to4,SVM_1_2to4,SVM_2_2to4,SVM_3_2to4,SVM_1_1to4,SVM_2_1to4,SVM_3_1to4,SVM_1_0to4,SVM_2_0to4,SVM_3_0to4,RF_5_3to4,RF_10_3to4,RF_15_3to4,RF_20_3to4,RF_5_2to4,RF_10_2to4,RF_15_2to4,RF_20_2to4,RF_5_1to4,RF_10_1to4,RF_15_1to4,RF_20_1to4,RF_5_0to4,RF_10_0to4,RF_15_0to4,RF_20_0to4,,,,,,,,,,,,,,,,,,
180,4,76.14,76.89,75.35,77.11,74.77,75.8,74.24,75.19,62.43,68.17,69.33,62.32,66.41,66.45,61.64,65.02,65.56,61.31,64.49,64.89,62.36,66.27,67.71,70.3,64.19,66.72,67.88,69.33,64.36,66.4,67.31,68.66,64.5,66.58,67.51,68.76,,,,,,,,,,,,,,,,,,
180,#5,NB_4to5,NB_K_4to5,NB_3to5,NB_K_3to5,NB_2to5,NB_K_2to5,NB_1to5,NB_K_1to5,NB_0to5,NB_K_0to5,SVM_1_4to5,SVM_2_4to5,SVM_3_4to5,SVM_1_3to5,SVM_2_3to5,SVM_3_3to5,SVM_1_2to5,SVM_2_2to5,SVM_3_2to5,SVM_1_1to5,SVM_2_1to5,SVM_3_1to5,SVM_1_0to5,SVM_2_0to5,SVM_3_0to5,RF_5_4to5,RF_10_4to5,RF_15_4to5,RF_20_4to5,RF_5_3to5,RF_10_3to5,RF_15_3to5,RF_20_3to5,RF_5_2to5,RF_10_2to5,RF_15_2to5,RF_20_2to5,RF_5_1to5,RF_10_1to5,RF_15_1to5,RF_20_1to5,RF_5_0to5,RF_10_0to5,RF_15_0to5,RF_20_0to5,,,,,,,,,
180,5,70.53,68.07,73.05,70.39,73.37,71.01,73.46,70.93,73.47,70.8,61.28,61.19,60.78,63.43,64.18,61.77,63.67,63.49,60.93,63.89,63.19,61.62,64.03,63.08,61.55,64.46,66.17,65.51,66.71,63.08,64.05,64.46,64.75,63.11,64.13,63.91,64.36,63.02,63.09,63.48,64.1,64.39,64.57,64.65,65.35,,,,,,,,,
180,#6,NB_5to6,NB_K_5to6,NB_4to6,NB_K_4to6,NB_3to6,NB_K_3to6,NB_2to6,NB_K_2to6,NB_1to6,NB_K_1to6,NB_0to6,NB_K_0to6,SVM_1_5to6,SVM_2_5to6,SVM_3_5to6,SVM_1_4to6,SVM_2_4to6,SVM_3_4to6,SVM_1_3to6,SVM_2_3to6,SVM_3_3to6,SVM_1_2to6,SVM_2_2to6,SVM_3_2to6,SVM_1_1to6,SVM_2_1to6,SVM_3_1to6,SVM_1_0to6,SVM_2_0to6,SVM_3_0to6,RF_5_5to6,RF_10_5to6,RF_15_5to6,RF_20_5to6,RF_5_4to6,RF_10_4to6,RF_15_4to6,RF_20_4to6,RF_5_3to6,RF_10_3to6,RF_15_3to6,RF_20_3to6,RF_5_2to6,RF_10_2to6,RF_15_2to6,RF_20_2to6,RF_5_1to6,RF_10_1to6,RF_15_1to6,RF_20_1to6,RF_5_0to6,RF_10_0to6,RF_15_0to6,RF_20_0to6
180,6,78.47,76.33,78.41,74.51,79.09,75.19,79.12,75.37,78.95,75.23,78.83,75.14,61.18,71.04,69.93,62.99,65.97,65.42,63.01,65.09,64.12,63.32,64.01,62.85,63.5,63.61,62.08,63.62,63.34,61.57,75.3,77.53,78.67,78.03,75.22,77.9,79.51,79.64,76.64,79.63,80.36,80.21,76.33,80.08,80.68,80.7,76.14,80.31,81,81.06,76.01,80.47,81.21,81.3
